,job description,startup description,label,justification
11,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.","Rounded News uses AI to categorize, analyze, and recommend news so you can understand and break through your news filter bubble.",False,Rounded News analyzes and recommends news content; it has no relevance to rehabilitation planning or patient mobility improvement.
12,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.","Bodyguard protects people, platforms and communities against toxic content online through smart & autonomous AI technology.",False,Bodyguard protects against toxic content online with AI moderation; it has no relevance to physics research or experimental theory building.
13,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.","Better Origin's technology fixes the broken link in the food system through a cost-effective network of AI-powered insect mini-farms that convert excess nutrients into essential nutrients, creating a better future now, farm by farm.",True,Insect mini-farms convert excess nutrients to feed—direct waste diversion.
14,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",optimization as a service for regional energy systems,False,Optimization of energy systems has no connection to planning or performing rehabilitative physical programs.
15,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","AI-powered creative ideation made smooth, fast, and secure.we enable creative teams to be 10x more creative, relevant and efficient through real-time collaboration with bespoke AI engines.",True,"An AI-powered creative ideation platform can help arts teachers inspire students, accelerate brainstorming, and collaborate on creative projects, which is directly relevant to teaching design, applied arts, or creative disciplines."
16,"Maintain order and protect life and property by enforcing local, tribal, state, or federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts. Includes police officers working at educational institutions.",Deep Learning powered video monitoring. Get more from your video systems with Calipsa's advanced AI cloud analytics for real-time and forensic analysis. Designed to unleash the power of event-driven video and create actionable intelligence for your security operations.,True,AI video analytics for real-time and forensic review maps well to monitoring and investigations.
17,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.",With WiSE People you uncover irresistible recruitment information Work easily with critical information about the talent you want to hire.,False,WiSE People provides recruitment intelligence and talent information but does not contribute to laboratory biological research or biochemical analysis.
18,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","What can you expect?Explore our range of carefully selected assignments, designed to challenge and stimulate your intellectual growth.",False,Vague ‘assignments for growth’; no executive management link.
19,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.","Gamaya uses the world's most advanced solution for agricultural mapping and diagnostics to address the need to improve the efficiency and sustainability of large industrial farming, as well as the productivity and scalability of small-holder farming. Gamaya agriculture analytics enhances production efficiency and risk management by supporting optimal decision making, including the use of chemicals and fertilisers, leading in greater and higher yields while reducing environmental impact.",True,Gamaya specializes in agricultural mapping and diagnostics to improve efficiency and yields.
20,Control or operate entire chemical processes or system of machines.,"IPRally is developing AI that thinks like a patent professional, increasing the productivity of inventors and patent people with its patent search. IPRally is using the latest machine learning and natural language processing techniques to harness the vast amounts of human patent intelligence stored in public databases to serve the IPR field.",False,"IPRally focuses on patent search and productivity for intellectual property professionals, not process automation or chemical plant control."
21,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Established in 2016, Postis is the first Romanian LogTech startup to disrupt traditional ways of doing things in logistics, transportation and retail sectors through the use of IT technologies - open digital platforms, machine-learning algorithms, data analytics and process automation. 
Launched commercially in 2017, the Postis Platform connects at systems level retailers, eCommerce actors and 3rd party logistics suppliers with all significant distribution and delivery companies from Romania and Central and Eastern Europe. Through its technologies, Postis helps companies to optimize their supply-chains and achieve productivity growth, streamlined operations, cost optimizations, business model transformation, up-scaling, or fast territorial expansion. Postis Platform is currently used by more than 100 local companies and international enterprises, among which Auchan, Carturesti, Cora Hypermarche, Flanco,  Ikea, Intersport, KLG, Noriel, Secom, Schmitz-Cargobull, Vivre.Postis is the first startup in Romania to create a digital solution to streamline the entire supply-chain processes for greater efficiency, full predictability and total transparency.
Starting 2016, the company built a platform that bridges ERP, WMS and TMS systems, e-commerce platforms and marketplaces, to seamlessly orchestrate data traffic up and downstream the supply-chain in order to optimize the transport planning and automate the allocation of best delivery option.
Based on data aggregated from all parties involved in the supply-chain, Postis Platform offers unique features that no siloed system can deliver by itself:
›	Carriers integration with automated best delivery option selection
›	Seamless integration for any type of carrier (couriers, transporters, own fleet), local or international
›	Supplier agnostic, real-time advanced delivery management
›	Real-time carriers’ performance analytics
›	Integrated track & trace and delivery management
›	Predictive, smart replenishment
›	Centralized last-mile distribution management
›	Returns (cash, refusals, returns, package recycling) management
›	Customer feedback & rating
›	Integrated analytics and dynamic optimization scenarios
›	Streamlined user experience, regardless the supplier
Around our platform, we developed an open ecosystem of retailers, logistics integrators, e-fulfillers, warehouse operators, transporters, couriers and technology providers, all integrated to accelerate the supply-chain digital transformation and generate industry best practices that make the shipment of goods from warehouses to homes simpler, faster, easier, less expensive, more eco-friendly for everybody. This way, Postis is a promoter of digital transformation of the entire supply-chain and helps the entire market grow.
Fueled by large data sets, data science and automation algorithms, Postis Platform generates fast results with long term impact:
›	Zero Euro entry cost - no capex, no consultancy fee, no integration cost, no scouting for logistics suppliers
›	Zero-day activation - turnkey access to 50+ delivery options in covered territory, up to 14 days for courier implementations in new geographies
›	-10% minimal reduction in delivery budget, up to -25% depending on supply-chain complexity and product catalogue, starting the first month after implementation
›	-20% average reduction in refusals on delivery
›	-25% reduction of deliveries outside the promised deadline, in some territories
›	-25% average reduction of call center calls for delivery details or complaints, starting the second month after implementation
›	+5-15% growth in operational efficiency along the entire logistics chain (less errors, no re-work, no manual data processing)
›	+25% growth in customer satisfaction, only from the best transport option allocation and improved related processes
Based on its success in Romania, Postis is currently accelerating its international expansion and is preparing a new Series A funding round.",True,Supply-chain orchestration across carriers and systems—direct logistics ops planning/coordination.
22,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",Transform your ideas into fully automated Quant trading strategies for any asset class or trading style without any coding.,False,This platform builds quantitative trading strategies and is unrelated to computer crime investigation or digital evidence handling.
23,"Assist patients in obtaining services, understanding policies and making health care decisions.","AI Medical Technology has developed the smartphone application Dermalyser, a clinically validated AI-powered medical software device for skin cancer diagnostic support. Dermalyser enables healthcare professionals to make fast and accurate diagnoses for their patients.Dermalyser is a smartphone application powered by artificial intelligence (AI) providing diagnostic decision support for medical professionals in clinical settings. Dermalyser enables fast and accurate diagnosis of melanoma, the most dangerous type of skin cancer. The application is used with a dermatoscope (magnifying glass) mounted in front of the smartphone camera. The medical professional takes an image of the patient’s suspicious skin lesion and, within a few seconds, receives a result from the AI. With Dermalyser, skin cancer can be diagnosed in time, and unnecessary surgeries can be avoided. Dermalyser can save patient lives while the standardised course of care for melanoma and healthcare becomes time and cost-efficient.",False,Dermalyser supports clinicians; not patient policy/decision navigation.
24,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.","We're building the world's densest digital trap network to accurately gauge insect pest pressure. This helps millions of farmers in precisely combating crop-eating insects, accelerating a transition to more sustainable methods. Good for the farmer, the environment and for our food security",True,AI-powered insect monitoring system supports precise pest control for crops.
25,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.","Your AI guide to weight loss during menopause and perimenopauseLila is your moon-inspired AI guide, designed to help women navigate weight loss during menopause and perimenopause. With personalized plans for nutrition, exercise, and habit-building, Lila simplifies weight loss, supports your changing body, and helps you feel confident, strong, and in control again.
Unlike generic fitness apps, Lila understands the unique challenges women face during this phase of life—like slower metabolism, cravings, and energy dips—and offers clear, tailored guidance that works for you.
Whether you’re looking to lose weight, build sustainable habits, or simply feel like yourself again, Lila is by your side, every step of the way.",True,"Lila provides tailored nutrition and exercise guidance for women during menopause and perimenopause, directly aligned with coaching and fitness instruction."
26,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",Consulting and development services in Artificial Intelligence and Data Science,False,General AI/DS consulting/services; no specific exec management function described.
27,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.","Dilepix is a company that specializes in Artificial Intelligence and computer vision for high precision agriculture. It was created in March 2018 by Aurélien Yol , former engineer at Inria and Alban Pobla , entrepreneur. Efficient both in Cloud mode and on-board mode, the company's algorithms analyze images from cameras placed in plots and farms or on board tractors. The algorithms detect in real time, threats such as insect pests, diseases or weeds for plants, lameness, heat, calving, disease for animals.",True,"Dilepix CV detects pests, weeds, and diseases, aiding farmers in crop management."
28,Control or operate entire chemical processes or system of machines.,modl.ai provides AI and machine learning tools for game developers to accelerate game development and enhance player engagement around the world. The software solution helps game developers efficiently test games in minutes by deploying AI-based player archetypes that imitate human behavior.,False,"modl.ai provides AI tools for game development and player simulation, unrelated to chemical process control or operation of machinery."
29,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",We are working towards a world in which every kitchen is able to offer its customers sustainably sourced food.,False,The startup aims to make kitchen food sourcing sustainable; it does not provide policy development or legislative support tools.
30,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Exabel is a platform aimed at discretionary and quantamental teams. It is an easy-to-use platform for investment professionals who would like to take advantage of alternative data and the application of modern data science in their existing investment process. The company is based in Oslo, Norway.",True,Exabel is built for investment professionals to use alternative data and data science; highly relevant to securities and investing.
31,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",TOM uses artificial intelligence to detect deviations in therapies for chronic diseases at an early stage. TOM combines multiple health data from thousands of patients with chronic conditions and uses AI to make predictions about the potential outcome of individual therapies. This will allow physicians to get a more comprehensive picture of the patient and intervene earlier in therapies.,True,TOM integrates patient health data to detect therapy deviations. Directly relevant to computerized healthcare systems and decision support for nurses/doctors.
32,"Assist patients in obtaining services, understanding policies and making health care decisions.","As the population ages, the number of cardiovascular patients is steadily increasing. Every fourth German suffers from widespread diseases such as high blood pressure, atrial fibrillation, heart failure or coronary heart disease. We want to sustainably improve the lives of chronic and acute cardiovascular patients and contribute to reducing the total costs of over 60 billion euros annually. Our holistic approach allows healthcare providers to utilize the full power of smart health trackers in patient care. Combining the permanently gathered vital data with advanced AI analytics and medical expertise substantially increases the treatment outcomes and thereby saves lifes. We believe every patient deserves the convenience to have 24/7 doctor access and feel safe.",True,Smart-tracker + AI platform with 24/7 doctor access helps access care and decisions.
33,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.","AI-powered, automated waste sorting and analysis platform",True,Purpose-built automated waste sorting/analytics directly supports waste stream management.
34,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.","Hubflo is the fastest-growing AI-Powered Client Portal for professional & creative services. 

Build a stunning branded client portal in 60s with AI to impress clients and streamline operations. Customize it with 10+ built-in tools (File sharing, contracts, approvals, client messaging, tasks, billing..) and deliver your services like a proHubflo is the fastest-growing AI-Powered Client Portal for professional & creative services. 
Build a stunning branded client portal in 60s with AI to impress clients and streamline operations. Customize it with 10+ built-in tools (File sharing, contracts, approvals, client messaging, tasks, billing..) and deliver your services like a pro 
More than 20k businesses, clients and contractors already use Hubflo for their daily work
Hubflo is ideal for digital agencies, consultants, freelancers, accountants, architects, home designers, law firms, and any other professional or creative service providers
Flexible & highly customizable Customer portal built with AI Magic
Fast integrations with 500+ external tools
Mobile friendly experience
Client onboarding features
Real-time client collaboration tool : advanced messaging, approvals, visualization of goals and projects progress..
Smartfiles : contracts and approvals in one-click
About Hubflo :  
A fast-growing startup backed by top-tier investors ($3M raised): first investors of Revolut, Stripe, Deliveroo...(Hummingbird Ventures & Seedcamp) and incredible business angels (ex-general manager of Microsoft, founder of Gumtree, VPs at Facebook, Notion, Robinhood)
Don’t let processes overwhelm you and get in the way of delivering a great client experience. Impress your clients with a customized and automated onboarding, a smooth delivery and collaboration. 
Skyrocket client satisfaction and retention
Reduce client emails, calls & meetings
Speed up onboarding & project delivery",False,"Hubflo is a client portal and workflow automation platform for professional services; it does not provide any functionality for biochemical or biophysical research, cellular metabolism studies, or drug/tissue effect analysis."
35,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.",Aardvark Sensing provides an autonomous robotic ecosystem designed for large-scale and long-running soil surveys.,False,"Aardvark Sensing works on soil surveys, possibly environmental microbiology indirectly, but not targeted to microbes or antibiotics."
36,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.","Design, not Discovery. We Design Antibody Drug Candidates with AI to allow Lead Generation in Days, not Years.",False,This company designs antibody drug candidates using AI and is entirely unrelated to the process of writing or enacting laws.
37,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.","Salutes offers Space Intelligence Services, which aims to make space affordable and accessible.",False,Salutes provides space intelligence services; it does not support legislative activities or policy creation.
38,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.","Just like Net Zero over the last five years, biodiversity is now affecting all sectors and scales of business.",False,The company works on biodiversity impact analysis and business adaptation; it is not focused on studying physical phenomena or applying physics theories.
39,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.","Arloid Automation is a global leader in AI-based solutions designed to simplify MEP (mechanical, electrical and plumbing engineering) systems management for a broad portfolio of real estate. 
We are proud to drive digitalization in the real estate industry with the use of cutting-edge Artificial Intelligence technology that both saves money and helps to meet sustainability goals.
To empower humanity to achieve the lowest energy consumption in Real Estate in the fastest and most intelligent way.
We built the most powerful AI platform to win the race to Net Zero for real estate.",True,AI for MEP optimization directly cuts building energy and emissions.
40,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.","Grid Edge transforms your existing building into a smart digital twin.
Data-driven insights help you reduce energy demand with efficiency savings and improved operations and control. Explore your building’s BMS, power and environmental data like never before, with a bespoke 3D digital twin data visualisation",True,Building digital twin for energy control and sustainability KPIs.
41,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.",Filtir is a tool that fact-checks chatbot outputs.,False,Filtir fact-checks chatbot outputs and does not relate to insurance products or sales tasks.
42,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.","We are a literacy/language start up thats has a focus on supporting teachers in the classroom with ""Continuous Assessment"" data to revoliutionise formative assessments. We focus on four outcomes: Pedagogical. Curriculum, Learning and Assessment. The result to support learners to acclerate deep learning.Currently we are in 12 countries and have completed trails/pilots. Our next phase is to develop a mobile version that will allow us to scale to millions of users in countries where meeting the SDG4 agenda is critical.",True,Literacy/language platform focused on continuous assessment and teacher support directly aligns with schoolwide interventions and progress monitoring.
43,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","Big data analysis, whether in administrative, financial, or medical decision-making processes, we believe, will transform the field of health.
SANCARE has created software to assist in the coding of hospital stays and to anticipate diagnoses from the Computerized Patient Record.
A tool for Medical Information Departments to use in order to assist and enhance coding.",True,SANCARE assists coding of hospital stays and anticipates diagnoses from EHR—core health informatics functions.
44,Control or operate entire chemical processes or system of machines.,"Kive’s platform is cloud-first, available everywhere, and tool-agnostic. This enables Kive to function as a meta-layer for visual assets from multiple sources, thereby becoming the default base library for creators. As the place where creative assets are stored and managed, Kive also enables easy sharing, doubling as a portfolio and presentation tool while connecting to social platforms.",False,"Kive is a platform for managing and sharing creative visual assets, unrelated to operating or controlling chemical machinery."
45,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.","Get intelligence from space, using our easy to use satellite data platform.",False,Space intelligence and satellite data are unrelated to insurance sales or assisting insurance agents.
46,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.","We are a startup focused on developing an AI solution to prevent cyber threats. This solution is specifically tailored to the needs and capabilities of medium and small businesses.We are a startup focused on developing an AI solution to prevent cyber threats. This solution is specifically tailored to the needs and capabilities of medium and small businesses.
Our goal is to improve your security. We are currently developing our platform to improve your cybersecurity and provide you with a continuous overview of your current security status. Our platform uses artificial intelligence through an expert system to meet your specific needs and financial capabilities. Please note that this solution is still under development.",True,Startup develops AI security solutions for SMBs. Directly supports network security evaluation and troubleshooting.
47,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","As the population ages, the number of cardiovascular patients is steadily increasing. Every fourth German suffers from widespread diseases such as high blood pressure, atrial fibrillation, heart failure or coronary heart disease. We want to sustainably improve the lives of chronic and acute cardiovascular patients and contribute to reducing the total costs of over 60 billion euros annually. Our holistic approach allows healthcare providers to utilize the full power of smart health trackers in patient care. Combining the permanently gathered vital data with advanced AI analytics and medical expertise substantially increases the treatment outcomes and thereby saves lifes. We believe every patient deserves the convenience to have 24/7 doctor access and feel safe.",True,Cardiovascular patient monitoring with AI and health trackers — relevant to nursing informatics for integrating patient data into care systems.
48,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.","AI Powered PayrollAigence is an all-in-one platform that handles payroll, expenses, timesheets, leave management, and more. One login, any device, anytime you need it.",False,"Aigence handles payroll and HR tasks, with no capabilities in digital forensics, intrusion analysis, or evidence preservation for cybercrime investigations."
49,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",Laila is a chatbot that can handle a conversation just like a human. It is the result of an ambitious research project whose goal is to provide companies with conversational agents able to overcome the technological limits of current chatbot services.,False,General chatbot; not an operations management platform.
50,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.",Scalable AI models for universal robotic manipulation. Intuitively automate your most complex and tedious manual labor tasks from retail to manufacturing. We Build Embodied Intelligence.,False,Embodied Intelligence builds robotic manipulation systems; not relevant to human exercise coaching.
51,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Infrared City is a platform for intelligent and resilient design powered by Artificial Intelligence.,False,Infrared City offers intelligent design tools for resilient urban design but is not focused on teaching arts or drama to students.
52,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Removing regulatory barriers with embedded compliance.

Apiax's embedded compliance solution enables financial institutions to make critical decisions faster, delivering answers to their most pressing regulatory questions right in the tools and applications they already use. It's the easiest, fastest way for highly regulated entities to put the client at the heart of business operations.

Financial institutions around the world use Apiax to embed compliance into their applications and processes. It helps them overcome regulatory challenges, realize business opportunities, and reduce the cost of compliance.",True,Apiax provides embedded compliance for financial institutions; directly relevant to banking and securities compliance tasks.
53,Control or operate entire chemical processes or system of machines.,"Abzu is a deeptech startup born from the desire to challenge the fundamental assumptions of contemporary, black box artificial intelligence. Abzu’s artificial intelligence accelerates analysis and insights through transparent and explainable models and aims to inspire data scientists to be more scientific.",False,Abzu builds explainable AI for data analysis but does not specialize in controlling or operating industrial chemical systems.
54,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",SingularityNET is a decentralized marketplace for AI algorithms. SingularityNET is a decentralized marketplace for AI algorithms. It is the first and only platform that allows AIs to cooperate and coordinate at scale.,False,SingularityNET is an AI algorithm marketplace; potential financial applications but not targeted.
